a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,eig1,eig2,eig3,eig4,eig5,sum_squared
-10,-7,6,-6,8,-8,4,2,-7,10,10,7,9,-5,-10,-5,-10,-4,8,-6,0,8,2,-8,-6,21.312709686747407,10.455366072358915,-18.659077729235058,1.794202544877643,-9.903200574748954,1012.9999999999998
8,-1,7,-6,-7,-1,-8,5,-5,-9,8,8,-7,-5,-5,-7,0,-7,-4,-4,-7,-9,8,-2,6,17.156871011752987,-18.416863938924067,-9.3185404390508,-1.5157122116095438,7.094245577831409,772.9999999999995
-10,3,0,8,6,-7,-9,-10,-4,4,-8,-10,10,-6,8,7,-5,-5,-1,-1,5,8,3,3,-6,-18.41031987537858,-15.992025106566688,15.526601659817569,4.093520936396673,-1.217777614268982,854.000000000001
-10,-8,7,-2,-10,-5,3,-5,-7,-2,-5,3,10,9,5,-6,-5,8,10,2,-7,9,8,10,-2,19.651728265858452,9.598450402129592,4.149830168527817,-13.270999067828706,-9.129009768687132,755.0000000000008
0,8,10,3,-5,5,10,8,10,-5,6,-5,-10,2,9,7,0,-10,9,6,-7,1,2,10,10,-14.701471004727896,17.326426534333653,13.530116378905591,-1.3659796687570729,4.210907760245761,719.0000000000013
-2,-10,-6,-6,-10,-9,-5,-10,3,1,0,2,-5,5,5,-5,10,7,-10,6,4,7,9,1,7,13.049896946417228,2.537995081843227,-5.188081669145249,-8.075654099263547,-17.324156259851645,569.0
3,3,4,-2,5,-1,2,1,-5,1,3,-7,-5,-4,-4,-5,7,3,10,7,9,-4,2,4,-3,-7.468724589904627,-2.6405888812464147,0.6263771870771134,8.172545332021748,8.310390952052174,199.0
-1,-3,-9,3,3,-4,1,8,-4,-8,2,-1,0,7,9,-3,-9,10,2,8,-2,-3,10,7,-6,-12.16678009401794,-6.950060230132752,-5.952230537858252,4.120324525860126,16.948746336148847,535.9999999999999
7,9,1,7,-2,8,-4,-9,1,-2,3,-6,-9,4,8,-7,5,2,3,3,7,1,10,8,7,-17.83042066270039,-3.329471860879648,11.541431083653034,9.160277153432604,4.458184286494404,565.9999999999998
7,-6,-3,5,5,8,-8,-4,6,-4,-4,-2,3,-8,1,4,10,-6,-9,-10,-5,-10,6,-9,-4,12.980499877212843,5.940027770699182,-0.6785918284854363,-12.474249376977804,-16.767686442448806,641.0
-8,0,0,8,-5,5,3,3,-6,-6,-10,5,8,-7,-3,8,-2,-9,4,-3,2,-3,8,4,10,18.4570350480979,-9.323098028506049,8.118557582443268,-2.5215391833022083,2.269044581267094,505.0000000000007
4,1,1,6,6,7,0,3,-9,9,-8,10,-1,10,3,3,-5,6,10,-7,3,0,2,-4,-2,-13.654380129668638,15.195808333025576,8.822539879762243,4.417152096141878,-3.781120179261038,529.0
0,-10,10,-6,1,-1,5,-7,0,4,10,-1,-3,4,1,-8,10,8,10,-8,-3,-1,3,-5,4,-14.70040472563008,14.125446164617001,13.591261272888222,-0.8741885293234433,3.857885817448306,616.000000000001
-7,-1,-1,-5,-8,6,6,-1,7,7,8,4,-5,0,-8,-5,0,-1,9,8,-4,-1,-2,0,-4,10.791152149761622,5.682711381365843,-0.03833341355791277,-9.780191984709123,-7.655338132860418,303.00000000000017
-9,-8,5,-2,-5,-7,-10,-6,6,2,3,-7,3,3,2,5,-1,7,-4,5,-3,-2,4,-3,3,-18.30240836846566,7.199084203313994,3.9708386464488865,-6.9014403924894605,-2.9660740888077877,459.00000000000097
-10,9,-1,7,3,1,9,3,-4,-4,5,0,7,6,-4,0,-3,10,5,10,-4,10,1,7,-4,-12.321872155873205,-4.544558938350863,2.077872550372507,6.602994232152843,15.185564311698688,451.0000000000002
1,5,5,-10,8,0,3,6,-2,-9,1,-1,-4,2,10,-1,-9,8,-9,1,10,-7,8,-4,7,16.40968407570262,-14.822917080531782,-11.982191950839171,6.666405828518511,1.7290191271498836,679.9999999999998
1,-5,3,5,1,-7,-2,3,-8,3,4,-1,5,9,4,1,-9,10,1,-2,2,-3,4,0,7,-12.57373983478453,16.688146026653197,-3.3120184883891546,3.391531616034288,7.806080680486206,519.9999999999998
9,9,-6,-2,6,10,6,-6,2,1,0,-10,4,-1,5,-10,5,0,-6,10,8,2,0,5,8,-13.081447335697579,21.67930978217864,-2.5308406784932087,3.3445242330337437,11.58845399897846,793.0000000000015
-10,1,9,2,2,2,8,-2,3,0,10,6,0,4,-4,-4,-7,2,-1,5,10,10,-8,8,4,-17.960053156461896,-1.5397106561199505,10.191262857931049,5.886147706118592,4.422353248532197,482.99999999999955
6,9,6,-5,4,9,9,7,-7,-1,2,6,4,-7,1,-10,-10,-8,1,-10,9,2,10,-8,3,29.92280976854746,-8.320871423204627,-4.077600069026387,-0.1578811693164544,5.633542893000057,1013.0000000000028
-10,-2,5,9,-1,9,-3,-7,10,7,3,0,10,10,-3,6,-1,0,10,5,9,6,1,-8,-6,15.230250330056482,5.753118219752308,-8.545717807620436,-7.0420573114106295,-4.395593430777703,407.00000000000057
0,2,-7,-8,5,-3,-2,-2,5,-6,-2,-9,9,-1,3,-1,7,6,-7,0,5,-7,9,5,5,15.81849565594236,6.66665312491229,-0.5382589943478685,-4.323585146705968,-12.623304639800823,473.0
9,-1,-4,-8,5,-3,-10,-5,-1,-7,-9,3,7,4,9,-2,-6,7,-9,-8,-1,1,7,-2,-6,16.03360986648837,2.8047517150183006,-2.077029586224413,-9.144387268830737,-16.616944726451507,629.0000000000011
5,-10,3,-2,6,-6,0,3,-2,7,5,10,-10,3,8,-6,0,9,8,3,-3,2,4,1,10,-16.405141832504476,-2.5463601434025134,14.2290876758027,10.253767934641353,7.46864636546293,638.9999999999993
-5,-2,9,3,3,-10,8,-9,-5,-9,3,-6,-2,1,-8,-7,-5,2,9,-2,5,-5,6,7,10,18.729984222945,-8.699625079246449,-0.34989729641667855,6.597710752512053,3.721827400206077,483.99999999999994
9,-6,5,-9,-3,3,10,-7,3,2,5,-1,-1,8,-4,-7,-5,7,0,-2,-8,-7,-8,-8,-7,-9.500871644990797,-10.770301650110913,4.775222762122493,14.454953021068018,12.04099751191119,582.9999999999997
-9,7,2,7,-2,2,4,-4,10,-4,1,-7,-10,5,6,2,7,3,7,-2,2,-8,10,-10,-4,17.70810396202329,3.595190004916477,-5.561970698340238,-10.57129529338994,-17.170027975209592,764.0
7,9,-6,0,4,-3,7,-10,-1,-7,-8,4,-2,-5,-1,7,-7,-6,9,-5,9,-9,8,5,8,15.25234686173161,12.418840091318243,-2.820608467837151,-0.33087071214427904,4.4802922269316,415.00000000000057
5,10,-9,-10,-4,3,2,7,7,-6,-2,4,-5,8,8,-10,7,6,2,-3,4,-4,0,8,6,-14.38820817613367,17.47325311443991,-4.9450464893883685,5.266077624525909,6.59392392655624,607.9999999999994
-1,10,-2,-1,2,9,-5,-5,10,1,7,1,-6,8,2,1,9,-5,3,0,2,2,-2,-2,-8,-16.156545622597875,-8.14889214817474,6.928108502907626,-1.1326442221029027,1.5099734899678747,379.0000000000002
-10,-5,1,-2,-1,9,1,3,-6,3,-3,5,-2,9,-8,7,-3,10,7,4,-9,4,-10,4,-9,-17.502854426201345,13.136493666021877,-10.010485578757697,3.0256166418551,-1.6487703029179344,590.9999999999995
8,6,9,4,-5,-3,-10,-7,6,-3,6,-5,5,0,-3,10,6,6,4,5,-8,6,-6,-6,8,20.803512536242923,-9.84657920994291,-2.4915492248187237,-0.317404313002563,6.85202021152126,582.9999999999997
-4,5,-5,-3,-5,-6,6,-9,-10,0,-2,-9,10,-3,3,8,-9,6,9,-1,0,6,2,9,-7,19.3786645547655,6.232800983187286,-8.052116676531336,0.2756220012826247,-3.8349708627040835,493.99999999999955
-9,3,4,0,-9,-4,7,-9,7,0,10,-4,8,3,3,-5,7,-3,-5,2,-5,1,2,7,-4,13.691233720383163,6.64968521570906,2.2957136943270555,-14.747440218172272,-10.889192412247013,573.0000000000005
-6,-3,10,3,-4,2,10,-3,10,0,8,4,-1,2,7,6,0,5,8,0,5,-2,9,-4,8,-12.41726250564371,-0.8605625620486861,6.616490795555107,14.063759829641562,11.597574442495729,531.0000000000001
4,-10,3,-7,8,-9,-4,-2,-9,-5,6,1,10,4,6,1,-3,5,0,-2,7,-5,7,1,-4,19.715948584103636,-13.47223481152442,-8.17190125863769,6.569109292326458,1.3590781937320062,682.0000000000006
6,-1,4,4,-1,5,-8,-2,8,-8,-2,2,5,-6,2,-8,1,-7,-9,3,8,4,4,-3,8,-8.044482896685558,-4.483647202924798,0.29212238184284345,8.490211811144809,5.745795906622689,190.00000000000023
1,9,-2,10,7,10,-6,4,9,-2,1,9,-5,-3,7,10,6,6,-2,-2,4,-3,10,-1,-7,17.1895290170941,-19.779730476181946,-10.243362004119993,-7.346047113862914,1.1796105770707395,847.0000000000008
10,0,-2,7,4,-9,-7,0,7,-1,-7,-2,-1,-2,3,-3,10,-9,-10,-5,4,3,4,-4,10,-17.83442573673567,-5.179123100596281,12.546002058635036,9.549487004466423,2.9180597742304997,601.9999999999994
-3,9,-8,-8,-2,7,3,-1,7,-10,3,-1,-2,6,0,-8,7,1,4,-9,7,-9,8,4,2,-12.461212243817224,12.237147042526791,9.829943115571442,0.560816862165857,-6.166694776446865,439.99999999999955
2,-4,6,-8,9,-2,-3,-6,5,-6,4,-1,1,6,2,-5,-3,10,7,-8,-10,-4,0,-8,-9,-12.487566818619204,12.352188825919665,5.95971103895499,-1.529326129590876,-6.295006916664567,386.0000000000001
-9,-1,-2,-5,-4,0,8,-6,9,-4,1,3,5,7,5,-5,4,4,-7,7,-8,-4,2,7,2,-14.507950788539214,-10.872610033533235,2.5631710118441404,11.840526508557705,9.976863301670596,575.0000000000005
10,2,-5,-10,9,1,9,-3,2,4,0,-6,-6,-2,8,-8,-2,-3,-10,-8,2,-4,2,7,6,-14.374485690261311,-3.2058910322049123,12.810483863242311,5.275140176913251,8.494752682310676,480.99999999999955
-5,8,-6,2,-2,0,9,9,0,7,-1,8,10,-3,10,9,5,2,9,-3,-8,7,6,2,-5,21.51418768061393,11.979975838556843,-9.544548149427852,-5.697173058055984,-0.2524423116869119,730.0000000000014
-4,3,-10,-4,5,-2,-1,8,3,-7,-8,7,-6,4,8,2,-9,8,-6,-10,9,-8,-9,-7,10,15.378055664180692,-18.310500752930697,4.136604810026997,-7.141434105032694,-1.0627256162442786,640.9999999999999
8,0,7,8,9,-2,-7,7,0,-2,3,7,3,-2,-6,3,2,4,3,8,0,3,-2,4,4,-11.584704551482666,13.085936448425981,6.968405182965694,5.612183224189608,-3.081820304098622,394.99999999999966
-10,-5,9,-3,5,2,8,-10,10,-2,9,-6,-3,-9,-5,-6,-6,-5,9,-3,-10,-8,8,-7,2,15.765047936264537,7.16936991527985,-2.3672431420659006,-9.327880506817635,-5.2392942026608305,420.0000000000004
3,1,-8,1,-3,4,10,10,-2,1,-8,3,-7,-1,-4,4,-5,-8,-4,-8,2,6,6,-2,0,12.809902325444922,7.32980193892349,-11.572165085399233,0.2304241837252066,-6.797963362694388,397.99999999999943
5,-6,-8,8,-5,-3,-8,-2,6,6,-4,-7,0,-2,6,6,-9,-6,-5,9,3,2,-7,10,-8,6.803821301473083,5.771479674293237,-14.992483994899823,-9.176466473130553,-4.406350507735947,408.00000000000017
2,-7,7,4,3,2,0,-1,9,10,9,-3,-7,-7,7,-5,1,-10,9,10,6,6,7,-7,-6,-15.119980201739335,-6.5457269989196005,-1.8066726804941708,11.346125060039551,10.126254821113529,506.00000000000097
10,-1,-1,-10,10,1,6,-9,-6,1,0,-6,-2,-2,-6,4,-7,1,-4,4,3,-5,-10,-9,-7,-13.797527013282904,-3.375879123252522,0.5681252321538781,7.089210656374057,12.516070248007505,408.9999999999997
-5,2,7,8,3,-9,-10,-9,-6,-5,6,-6,-5,-8,-7,9,-8,-6,-7,8,5,-9,-4,-1,-3,-24.61302438424585,8.071324233545491,4.218278459374611,-6.097105809016269,-11.57947249965793,859.9999999999976
8,-3,-8,-8,4,-3,1,-3,10,7,-1,-4,0,1,8,-5,9,8,8,3,-5,5,9,10,-9,21.497326139018924,-14.848407273048332,6.057635613557834,2.5262203555477067,-7.232774835076143,777.9999999999994
-9,0,-5,-5,-10,1,-10,4,1,-3,-4,7,-4,2,10,-1,-4,-4,-6,4,-1,-5,6,7,-8,-19.04855733658157,2.20584041724958,1.2742131851142895,-12.449039238325124,-8.982457027457162,604.9999999999997
-2,2,8,-1,-9,-7,-4,-4,4,8,2,5,2,1,-8,2,8,-8,-1,5,-4,10,-8,3,-5,13.245110252308566,-13.885963558355353,-6.8310228339036705,-5.1298407892605455,2.601716929211024,448.00000000000017
1,-8,6,8,3,-10,-8,-10,7,7,0,-10,9,-5,7,10,1,-9,6,-2,7,7,7,-8,2,-20.518070380198488,-7.65406312587124,20.05390212444098,13.19009383906344,4.928137542565321,1080.0
10,8,0,1,-4,2,8,9,-1,-10,1,1,2,3,4,3,9,7,9,7,2,4,7,-3,-9,15.681330456399772,7.068721398810006,-4.814748491165791,2.8783932484641648,-0.8136966125081349,328.0000000000001
4,-5,9,8,9,-5,-9,-7,0,-5,9,2,8,-2,7,-3,9,-7,1,-3,8,-5,10,-2,-3,21.03404095501946,4.5187193864522035,-10.33672246157446,-9.372372982508017,-4.84366489738919,680.9999999999993
9,-9,2,-4,-5,-4,3,-7,-3,9,-9,-6,-2,-6,-4,-10,2,1,5,0,6,10,-5,6,5,14.307965948764815,12.224960085364815,5.916851766986614,-8.806055578549637,-3.6437222225666144,479.99999999999994
-2,-8,-10,-9,1,-10,-4,-4,1,7,-5,-3,6,4,6,-9,-10,5,1,-3,0,-1,0,-1,2,-16.832689531307974,14.363274316585905,-1.4939157302997863,4.681903139581839,2.2814278054400283,518.9999999999997
4,1,0,10,-1,9,10,-10,2,-7,-4,-7,-9,-2,-1,8,1,8,-6,8,1,-2,9,6,7,14.694333189927024,13.258925437204232,1.6169975826653307,-13.178738214289742,-10.391517995506819,676.0000000000007
5,-3,3,-7,10,-4,-5,10,10,3,9,8,-4,-3,3,-1,8,3,-10,-4,-2,8,7,-5,-5,-20.573653968568863,10.684192157618096,-10.871178571996573,3.866986351041358,-2.106345968094054,675.0000000000011
6,-1,-6,-3,1,1,6,-10,10,5,-5,-6,9,9,8,3,1,9,-10,-3,0,5,-3,-5,-10,-19.59978994770492,16.93860043991054,-4.507182866927514,3.0220661091867425,5.146306265535126,726.9999999999986
-10,6,-2,-1,-4,10,-3,-6,5,-2,-6,8,5,9,0,-2,-2,7,-1,1,-5,-10,-6,-10,-9,9.79263536194595,2.108205107722259,-14.781601785256784,-6.900709881151918,-8.21852880325953,434.0000000000013
2,4,6,1,5,9,-8,9,0,10,-5,1,-2,3,-4,-1,-6,7,8,-9,6,-3,-1,-4,2,12.985465198907782,4.427473780134478,-8.519363531943172,-5.095260241116872,-1.798315205982218,289.9999999999999
-6,-6,8,7,-10,-2,-2,-2,1,5,10,-5,-6,3,8,1,-3,7,-3,-9,6,6,-2,-5,6,-12.561500835023633,-8.538845406345075,-4.479409130306014,4.466132265953305,10.113623105721418,373.0
1,0,-9,-5,-4,8,-5,7,4,3,-7,1,6,-5,-8,-7,1,-3,0,1,-4,5,-10,2,8,-15.138057939851453,16.716148539777247,9.25216206463658,-2.0677631937840744,1.237510529221714,599.9999999999997
-6,8,3,10,3,4,6,0,5,-9,-1,1,-2,0,1,8,-4,5,5,-8,2,-2,-4,-8,6,-14.402463327495358,14.729652450203599,6.243647770925008,4.1018670093099345,-1.6727039029432031,483.00000000000097
-1,-2,-3,8,1,-9,6,7,2,4,-1,-3,-8,8,-1,7,-1,6,9,10,2,8,-7,7,-7,16.411003180346565,7.850615499330785,-2.6429189749115394,-5.685338738365251,-16.933360966400553,656.9999999999998
-7,-3,-8,2,-1,5,-1,8,0,7,-4,2,0,-10,-6,5,4,-1,-2,-1,0,-1,-2,-8,8,-10.365114449998543,-5.951280903997605,-0.177603791748786,6.227904554026459,8.266094591718494,249.99999999999994
-6,-8,2,-4,1,-4,0,1,-10,-6,-4,2,6,-1,-5,-2,-8,1,5,7,2,5,-3,2,1,-12.525922300565108,11.262196124117933,-0.6451191208141732,1.6551713211261678,6.253673976135183,326.00000000000034
-4,-7,10,4,-7,-10,10,2,-5,6,10,0,-10,-2,-3,9,-8,-2,-2,-6,-10,5,-9,-7,1,23.928029946200052,-19.533119189483433,3.3311003551622367,-8.896257284172744,-3.829753827706137,1059.0000000000007
8,-7,0,5,9,-4,-3,2,9,7,9,-3,-6,-8,-4,9,-4,4,8,-8,1,9,7,-3,-6,11.185963860142166,-12.338103695699896,-5.563846581494057,5.426559072186477,2.2894273448653304,342.99999999999966
10,2,1,7,4,4,-10,10,5,6,7,5,1,0,3,8,10,1,-7,3,-7,-4,-7,8,-7,13.834491503763807,-15.129937679440356,-11.011055144712167,0.4304330838679022,-1.1239317634791919,542.9999999999998
1,10,-9,-4,-7,10,0,6,-2,-1,-2,-2,9,1,-10,7,1,9,-5,-10,-10,7,-6,-2,-10,-21.1623863733986,-4.351998225504467,1.0470527734550896,8.056064840247654,11.411266985200346,662.9999999999986
-10,1,2,1,-3,-3,4,2,9,-7,10,6,3,8,-10,7,4,-3,-2,3,-10,-5,-4,-1,-3,12.522904475055723,-13.843729797344889,-7.034188783240562,-4.293800332156497,4.648814437686249,438.0000000000001
2,-6,5,-1,8,-7,9,3,3,-5,9,9,2,-3,-10,-1,5,-8,-10,8,-6,-2,0,3,7,-13.74535135989995,-4.966475020723894,13.05911007694636,10.209142449453077,5.44357385422442,518.0000000000003
-10,-9,-1,-2,6,-6,8,7,6,-8,-8,6,8,-5,3,4,-4,-9,-6,10,7,-3,0,7,-7,17.78244780323818,-17.98496699831934,-12.501755018392508,4.690922236016664,1.0133519774569915,819.0
7,10,6,7,-8,9,5,1,1,3,0,-5,7,-3,0,0,-1,-1,1,-8,-10,10,2,7,5,-7.343107676177597,-0.14944203666780448,14.18352703254204,11.188453558720841,7.120569121582504,430.9999999999999
-6,-7,0,5,10,-5,4,-9,-3,6,6,-9,7,1,-9,6,-2,-8,3,-7,8,-4,3,9,-7,13.567101949927585,-11.318038259761972,5.0638600042195785,-6.4173339470253845,0.10441025264019144,379.00000000000017
1,-4,-9,-8,-7,-10,8,5,2,-9,0,0,4,6,-7,-3,1,5,-8,1,-7,-1,-3,0,-5,-13.158098407280784,-11.31969996778284,11.694380763026839,6.029483329848083,6.753934282188653,519.9999999999992
8,1,-3,-3,-10,0,-2,-6,0,-8,-6,-9,3,1,7,-6,-1,3,-10,4,-9,-4,-1,8,-10,17.534563448587754,4.632461872862949,-5.93216952877716,-10.299291271519552,-16.93556452115399,756.9999999999993
4,7,-5,-5,-6,6,-9,10,10,-9,-2,7,1,-6,-6,8,8,-8,3,-3,-8,-3,-2,-5,9,-19.890986319484412,18.70845805014256,7.421731386286321,3.083800472735679,-1.323003589680149,811.9999999999989
8,4,3,3,8,8,-6,3,-2,-6,-2,-10,4,-1,2,7,-9,8,-9,1,7,-4,7,3,6,-11.946606871975476,-6.613986923006946,-2.1407622096652372,13.980673326368795,9.720682678278854,480.9999999999998
-4,2,-3,8,-6,7,-4,-10,1,9,8,1,-10,10,5,7,1,-2,1,10,2,2,-4,6,1,-12.395265583057531,-8.307223998006354,5.557997829450313,-2.1727660895839347,1.3172578411975189,259.99999999999983
6,-6,7,4,-10,1,-7,4,3,-7,-1,7,-6,-5,-1,-6,1,-5,-7,7,-10,1,-6,-2,1,12.33964916721728,-12.079702771838495,-0.79422555328769,-7.347747654819365,-5.117973187271739,378.99999999999966
-4,4,-9,10,1,4,-5,5,0,2,-5,10,-2,1,-3,7,2,7,-8,1,-9,3,-4,-1,-8,-21.357750551198894,2.619401764047785,4.101264854241498,-4.090524564294006,-8.272391502796406,565.0000000000007
7,-10,-10,9,2,0,8,3,-5,-3,-8,-1,7,4,9,-2,-4,2,9,2,-3,0,9,9,-1,17.3477004540125,15.438126956213857,-7.338331220485758,2.780124145340595,1.7723796649188666,604.0000000000022
1,2,-3,-4,-9,-7,1,3,-7,-2,7,-10,9,-3,-3,-2,-8,-3,9,4,-9,5,-9,-1,-5,14.916606296873589,-10.917397908350795,5.9981642634834795,3.6875187093156816,1.3151086386780604,393.00000000000017
2,1,-10,-2,-10,6,-3,-5,-9,3,-8,-4,4,6,5,-9,3,-4,-5,2,-5,10,-5,-2,-7,-13.32784420237848,8.65467473500616,5.8811467933143655,-7.530497059864295,-2.677480266077736,350.99999999999994
1,-6,6,1,1,-9,6,5,3,1,-7,9,10,-7,1,-3,7,2,-2,1,8,-1,-3,5,-7,-7.9423856378584,-7.075251706787246,12.456656028852178,3.5594617406881666,7.0015195751053145,330.0000000000002
-3,-3,6,-1,5,7,10,-9,8,-4,2,-6,-1,-1,4,-6,10,1,-5,-5,4,10,10,-6,-2,15.533124086703106,6.86719717044094,-11.27632693521865,-8.288259816220844,-3.8357345057045893,498.9999999999999
2,3,-1,10,10,8,6,-3,3,3,2,-3,-10,-7,10,2,4,-8,7,3,10,3,10,-6,9,-16.206212017200713,-3.199189086168129,-1.2629747297036653,20.03424667747368,14.634129155598817,890.0000000000006
-5,10,-1,7,4,10,4,-9,-8,0,-6,5,-10,-5,-2,6,-6,-4,-7,10,6,10,-5,4,0,13.665300109487296,3.9564633636963022,-7.520463801365644,-10.430769094843981,-17.670530576973984,680.0000000000005
-8,-3,4,-2,6,-5,7,-8,8,-2,10,-6,3,-1,-6,7,1,4,-3,-2,6,-10,-9,-1,2,-15.279426445092056,-7.001129792859704,0.862851870561903,13.500364918786744,8.917339448603107,544.9999999999993
-1,-7,-7,-1,2,-5,-4,-1,4,9,2,-2,-8,-1,-10,-2,9,6,-10,0,-4,8,-5,-9,-9,4.8566505196890475,0.9644420822497131,-4.640794836309504,-15.2711074545489,-17.90919031108034,600.0
-9,5,-6,0,-3,2,0,-4,-4,-4,-2,0,2,5,6,4,1,10,10,-3,6,-10,10,1,4,-12.738720916720364,-3.416408328225445,-1.7230824614310258,14.515330975640182,10.362880730736654,495.0000000000007
4,-1,-1,-1,8,6,5,3,-7,1,8,0,-7,-2,2,9,-9,1,-10,3,4,4,-7,4,7,-11.485387781843276,-8.136933758549983,-0.05842510696069003,11.619366014013888,7.061380633340073,382.9999999999998
10,6,-10,9,-8,7,-2,-9,-4,1,-3,1,-7,8,-7,9,-10,0,1,3,-7,0,-2,-3,-3,16.610886625896402,-14.346589360776559,-9.177400107044939,-2.940344113150715,8.85344695507579,653.0000000000003
3,-5,8,5,5,5,-7,1,2,9,10,-2,-2,1,10,8,7,-10,6,7,6,-4,8,3,1,16.452560220598905,-10.308708310840917,-8.17070915900795,-2.6520470135705794,5.678904262820573,483.0000000000008
9,1,7,-3,-8,10,1,7,2,1,2,-3,-3,5,6,-5,-1,-9,-7,8,4,1,7,7,-3,-11.696483756884703,7.816530891894212,-3.0593314148196793,-0.2636988010075842,4.202983080817757,225.0
0,0,-2,-9,-8,0,4,4,9,2,9,2,-6,-6,1,-7,7,-9,-4,-5,-1,6,-9,-1,-3,12.542016797544473,-14.371290708567082,-6.629143607035452,-4.802436486623676,4.260854004681728,449.0
2,3,8,-7,-8,9,-10,5,2,2,8,-3,8,-8,-10,7,4,0,-10,-1,-5,1,-8,3,3,18.086732135913234,-1.555972561960129,-1.8179896328008993,-7.990918650194778,-13.721851290957403,585.0000000000009
1,4,10,10,-2,4,9,0,2,-2,-2,-3,-8,-4,8,4,8,8,5,-10,10,-4,10,-8,0,-13.694888482038206,16.11420789291155,7.293410802758758,-2.562399870989452,-0.1503303426426464,506.99999999999955
8,0,-6,8,-2,10,-9,6,0,-9,-6,6,-5,10,4,9,-8,10,5,-7,-10,-9,9,6,-6,-23.671602272430423,14.625444758379926,8.645289083390937,1.0728659989778595,-7.671997568318287,908.9999999999991
7,-6,7,9,7,-4,-1,7,-9,-3,7,-1,5,4,4,7,-10,3,8,-6,2,2,-2,2,3,21.765411867660532,8.01018352338213,1.3410618737516324,-6.099211392659313,-3.0174458721349677,586.0000000000002
9,-8,-9,0,2,-5,5,-7,5,-5,-9,0,-4,2,-1,-4,1,0,-2,-3,-8,-7,-1,4,-7,13.218933985814338,9.569395851376688,-10.482411126792195,-6.855790462248024,-4.450128248150798,443.00000000000017
1,-8,3,3,-2,-7,-2,0,-7,0,-5,-5,9,8,-1,1,-8,1,-4,5,4,7,1,8,5,-13.270482459110786,-1.587465291311695,12.572952595746562,4.1227024503729695,7.162292704302963,404.9999999999993
-1,4,-9,-7,4,8,-3,-10,-9,2,-10,-1,-5,2,10,-2,-9,2,-2,-9,-6,6,10,-1,-6,14.794060447340668,4.143744253523043,-18.341411242939802,-7.430486727508318,-10.16590673041561,731.0000000000001
8,7,3,-6,-10,9,-9,-10,-5,-2,6,4,-6,-4,-7,-2,2,1,-6,-6,9,-8,-9,0,3,-12.900924747374912,6.606008961883969,5.093620401810812,-6.30634155796057,-2.492363058359311,281.99999999999983
1,-7,7,-8,-6,-7,9,-5,3,-4,5,-2,4,6,-5,0,-9,8,-9,-5,-7,-1,-8,-6,1,17.222116461794606,-15.95650957294805,8.09299529420577,1.4553304403098284,-4.813932623362154,641.9999999999991
-1,-3,-3,-1,-3,-6,10,0,-7,9,9,7,3,9,-7,-7,-9,9,-1,7,-6,3,1,0,1,-11.109772426515054,-3.704198511005188,16.030269582841743,2.2503367373666827,8.533364617311818,471.99999999999983
5,5,2,-7,-6,-8,-2,-4,8,-4,-8,-9,-5,-7,-5,-5,-3,-1,10,-10,-4,1,-3,-10,5,-11.208423483903543,-2.8651059370298975,5.005713432107536,6.4181202635724945,15.649695725253387,445.0000000000002
-1,-1,8,9,-8,3,1,2,-4,6,2,8,-5,5,7,1,-8,7,-7,-1,-3,1,8,9,5,-15.31989094141029,-9.071978900098433,11.238330119434888,4.2530034582648435,1.900536263809014,464.99999999999943
-9,7,-7,-1,-7,-6,10,-8,-3,-9,0,-10,-5,1,5,3,0,7,5,-1,-2,-2,2,-1,10,-11.374977054193973,17.04946824987978,-4.301130262749574,7.649665599512033,1.9769734675517476,500.9999999999996
-3,6,3,2,1,9,-3,6,4,-7,-2,-2,-9,9,4,-8,9,-2,9,5,8,-8,-5,9,-1,-16.986999770069932,11.459338931086858,-3.462026358884725,0.23315600161184416,1.7565311962559902,434.99999999999966
-8,5,-5,1,-5,10,-6,-3,1,7,-7,-10,6,9,1,5,-2,8,-1,3,-8,5,5,4,-7,14.586689891539574,-20.614135674404874,1.6952802650121896,-1.287339820806869,-10.380494661340029,749.9999999999982
-1,1,-7,-10,-7,-7,8,-2,-9,0,-8,6,-2,8,9,-10,3,10,-2,2,-10,8,3,-1,3,19.018635499097485,8.408663150095945,-13.077612569634288,-6.792409509388034,-1.557276570171145,651.9999999999982
9,3,-4,-2,2,10,-10,-2,6,-7,3,-4,2,4,-4,-3,3,4,9,5,6,-1,-10,6,10,-15.242084346788776,15.279449934281839,12.512812460722063,7.323304731257523,0.1265172205273451,675.9999999999987
9,-9,1,9,-3,-2,3,-4,7,-8,-9,-9,-2,0,-6,9,10,10,10,7,5,1,-3,2,-7,-14.905665475138854,-5.318723553769245,15.26441261476759,11.010954433982453,6.949021980158061,652.9999999999999
-4,3,-1,5,-4,10,-9,-9,4,8,-5,-3,0,-2,0,2,9,4,-1,8,-7,8,10,10,-4,-18.13477022560194,-12.597278196545485,-4.310368803058704,6.6994760243674465,10.342941200838666,658.0000000000008
-7,6,-10,5,9,2,0,2,2,-8,-10,2,-7,4,9,-6,3,-5,0,7,4,-4,4,-5,1,-17.89106697191048,5.999051987502246,3.2745233801967744,-3.7070715633485376,-0.6754368324399906,380.99999999999994
